EmployeeId,Age,Attrition,DailyRate,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobSatisfaction,MonthlyRate,Over18,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TrainingTimesLastYear,YearsSinceLastPromotion,outlier,MonthlyIncome_Log,YearsAtCompany_Winsorized,TotalWorkingYears_Rank,NumCompaniesWorked_Robust,IncomePerYearWorked,OverTime_Numeric,WorkLifeBalanceScore,LevelRoleGap,PromotionRate,RetentionScore,SatisfactionConsistency,TravelIntensity,PerformancePayRatio,RiskScore,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,SalaryBand_Medium,SalaryBand_High,SalaryBand_Very High,YearsSinceLastPromotion_Binned_Medium (3-5),YearsSinceLastPromotion_Binned_Long (6-10),YearsSinceLastPromotion_Binned_Very Long (>10)
1,38,0,1444,1,4,1,4,88,3,2,5224,Y,3,2,80,1,2,1,1,8.003697339094368,6,0.32789115646258504,-0.6666666666666666,427.2857142857143,1,2,0.6,0.16666666666666666,0.8571428571428571,0,2,0.2727272727272727,1,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
2,37,1,1141,11,2,1,1,61,1,2,14382,Y,3,1,80,0,2,0,1,8.471777327885755,1,0.7445578231292517,1.0,318.46666666666664,0,1,2.0,0.0,0.06666666666666667,1,1,0.2,3,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
3,51,1,1323,4,4,1,1,34,3,3,10332,Y,3,3,80,3,2,2,1,7.808729306744399,10,0.8149659863945579,2.3333333333333335,136.72222222222223,1,3,1.0,0.2,0.5555555555555556,0,1,0.25,2,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False
4,42,0,555,26,3,1,3,77,3,2,14864,Y,3,4,80,1,2,4,1,9.512369038134885,20,0.904421768707483,1.0,588.0434782608696,0,4,3.2,0.2,0.8695652173913043,2,2,0.21428571428571427,0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False
5,40,0,1194,2,4,1,3,98,3,3,12549,Y,3,2,80,3,2,0,1,7.601901959875166,5,0.8493197278911565,0.0,100.05,0,3,0.4,0.0,0.25,1,1,0.21428571428571427,0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
6,29,1,352,6,1,1,4,87,2,2,15434,Y,3,4,80,0,3,0,1,7.9391588179567965,1,0.03537414965986395,-0.3333333333333333,2804.0,0,3,1.0,0.0,1.0,2,1,0.2727272727272727,0,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
7,40,0,1124,1,2,1,2,57,1,4,13273,Y,4,3,80,3,2,0,1,8.917042560738766,4,0.2578231292517007,0.0,1242.8333333333333,1,1,1.4,0.0,0.6666666666666666,1,1,0.18181818181818182,1,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False
8,55,1,725,2,3,1,4,78,3,1,21199,Y,3,4,80,1,2,1,1,9.896462937599164,5,0.9180272108843538,1.0,827.4583333333334,1,2,4.6,0.2,0.20833333333333334,3,1,0.23076923076923078,2,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False
9,36,0,635,18,1,1,2,73,3,4,7703,Y,3,1,80,0,2,1,1,7.675081857716334,8,0.3904761904761905,-0.3333333333333333,269.125,0,3,0.8,0.125,1.0,3,2,0.23076923076923078,1,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
10,32,0,1018,3,2,1,3,39,3,4,19373,Y,3,4,80,0,6,7,1,9.320091235935301,7,0.5595238095238095,0.3333333333333333,1115.9,0,3,1.6,1.0,0.7,0,1,0.2,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
