EmployeeId,Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome_Original,MonthlyIncome_Log,YearsAtCompany_Original,YearsAtCompany_Winsorized,YearsSinceLastPromotion_Original,TotalWorkingYears_Original,TotalWorkingYears_Rank,NumCompaniesWorked_Original,NumCompaniesWorked_Robust,IncomePerYearWorked,WorkLifeBalanceScore,LevelRoleGap,PromotionRate,RetentionScore,SatisfactionConsistency,TravelIntensity,PerformancePayRatio,RiskScore,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,SalaryBand_Medium,SalaryBand_High,SalaryBand_Very High,YearsSinceLastPromotion_Binned_Medium (3-5),YearsSinceLastPromotion_Binned_Long (6-10),YearsSinceLastPromotion_Binned_Very Long (>10)
1,38,0,1444,1,4,4,88,3,1,2,2991,5224,0,11,3,2,1,7,2,3,6,2,1,2,2991,8.003697339094368,6,6,1,7,0.32789115646258504,0,-0.6666666666666666,427.2857142857143,2,0.6,0.16666666666666666,0.8571428571428571,0,2,0.2727272727272727,1,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
2,37,1,1141,11,2,1,61,1,2,2,4777,14382,5,15,3,1,0,15,2,1,1,0,0,0,4777,8.471777327885755,1,1,0,15,0.7445578231292517,5,1.0,318.46666666666664,1,2.0,0.0,0.06666666666666667,1,1,0.2,3,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
3,51,1,1323,4,4,1,34,3,1,3,2461,10332,9,12,3,3,3,18,2,4,10,0,2,7,2461,7.808729306744399,10,10,2,18,0.8149659863945579,9,2.3333333333333335,136.72222222222223,3,1.0,0.2,0.5555555555555556,0,1,0.25,2,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False
4,42,0,555,26,3,3,77,3,4,2,13525,14864,5,14,3,4,1,23,2,4,20,4,4,8,13525,9.512369038134885,20,20,4,23,0.904421768707483,5,1.0,588.0434782608696,4,3.2,0.2,0.8695652173913043,2,2,0.21428571428571427,0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False
5,40,0,1194,2,4,3,98,3,1,3,2001,12549,2,14,3,2,3,20,2,3,5,3,0,2,2001,7.601901959875166,5,5,0,20,0.8493197278911565,2,0.0,100.05,3,0.4,0.0,0.25,1,1,0.21428571428571427,0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
6,29,1,352,6,1,4,87,2,1,2,2804,15434,1,11,3,4,0,1,3,3,1,0,0,0,2804,7.9391588179567965,1,1,0,1,0.03537414965986395,1,-0.3333333333333333,2804.0,3,1.0,0.0,1.0,2,1,0.2727272727272727,0,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
7,40,0,1124,1,2,2,57,1,2,4,7457,13273,2,22,4,3,3,6,2,2,4,3,0,2,7457,8.917042560738766,4,4,0,6,0.2578231292517007,2,0.0,1242.8333333333333,1,1.4,0.0,0.6666666666666666,1,1,0.18181818181818182,1,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False
8,55,1,725,2,3,4,78,3,5,1,19859,21199,5,13,3,4,1,24,2,3,5,2,1,4,19859,9.896462937599164,5,5,1,24,0.9180272108843538,5,1.0,827.4583333333334,2,4.6,0.2,0.20833333333333334,3,1,0.23076923076923078,2,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False
9,36,0,635,18,1,2,73,3,1,4,2153,7703,1,13,3,1,0,8,2,3,8,1,1,7,2153,7.675081857716334,8,8,1,8,0.3904761904761905,1,-0.3333333333333333,269.125,3,0.8,0.125,1.0,3,2,0.23076923076923078,1,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
10,32,0,1018,3,2,3,39,3,3,4,11159,19373,3,15,3,4,0,10,6,3,7,7,7,7,11159,9.320091235935301,7,7,7,10,0.5595238095238095,3,0.3333333333333333,1115.9,3,1.6,1.0,0.7,0,1,0.2,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
11,25,0,583,4,1,3,87,2,2,1,4256,18154,1,12,3,1,0,5,1,4,5,2,0,3,4256,8.356319965828153,5,5,0,5,0.18537414965986396,1,-0.3333333333333333,851.2,4,1.6,0.0,1.0,0,1,0.25,2,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False
12,20,1,129,4,3,1,84,3,1,1,2973,13008,1,19,3,2,0,1,2,3,1,0,0,0,2973,7.9976631270201,1,1,0,1,0.03537414965986395,1,-0.3333333333333333,2973.0,3,1.0,0.0,1.0,1,1,0.15789473684210525,2,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
13,47,0,571,14,3,3,78,3,2,3,4591,24200,3,17,3,3,1,11,4,2,5,4,1,2,4591,8.432070937999402,5,5,1,11,0.6404761904761904,3,0.3333333333333333,417.3636363636364,1,1.2,0.2,0.45454545454545453,0,1,0.17647058823529413,1,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False
14,42,0,810,23,5,1,44,3,4,4,15992,15901,2,14,3,2,0,16,2,3,1,0,0,0,15992,9.67990640549087,1,1,0,16,0.7707482993197279,2,0.0,999.5,3,4.0,0.0,0.0625,2,1,0.21428571428571427,1,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
15,31,0,616,12,3,4,41,3,2,4,5855,17369,0,11,3,3,2,10,2,1,9,7,8,5,5855,8.675222055641148,9,9,8,10,0.5595238095238095,0,-0.6666666666666666,585.5,0,0.6000000000000001,0.8888888888888888,0.9,1,1,0.2727272727272727,2,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False
16,38,0,573,6,3,2,79,1,2,4,5329,15717,7,12,3,4,3,17,3,3,13,11,1,9,5329,8.58110651715989,13,13,1,17,0.7945578231292517,7,1.6666666666666667,313.47058823529414,2,-0.20000000000000018,0.07692307692307693,0.7647058823529411,0,0,0.25,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
17,39,0,408,2,4,4,80,2,2,3,4553,20978,1,11,3,1,0,20,4,3,20,7,11,10,4553,8.423761246623686,20,20,11,20,0.8493197278911565,1,-0.3333333333333333,227.65,3,0.6000000000000001,0.55,1.0,2,1,0.2727272727272727,1,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
18,54,0,821,5,2,1,86,3,5,1,19406,8509,4,11,3,3,1,24,4,2,4,2,1,2,19406,9.873389104712095,4,4,1,24,0.9180272108843538,4,0.6666666666666666,808.5833333333334,2,4.6,0.25,0.16666666666666666,2,1,0.2727272727272727,2,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
19,25,0,772,2,1,4,77,4,2,3,5206,4973,1,17,3,3,2,7,6,3,7,7,0,7,5206,8.557759153162898,7,7,0,7,0.32789115646258504,1,-0.3333333333333333,743.7142857142857,3,0.6000000000000001,0.0,1.0,0,2,0.17647058823529413,0,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
20,49,0,1098,4,2,1,85,2,5,3,18711,12124,2,13,3,3,1,23,2,4,1,0,0,0,18711,9.836920308264014,1,1,0,23,0.904421768707483,2,0.0,813.5217391304348,4,5.0,0.0,0.043478260869565216,0,1,0.23076923076923078,1,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
21,24,0,691,23,3,2,89,4,1,4,2725,21630,1,11,3,2,2,6,3,3,6,5,1,4,2725,7.9105906122564775,6,6,1,6,0.2578231292517007,1,-0.3333333333333333,454.1666666666667,2,0.0,0.16666666666666666,1.0,2,1,0.2727272727272727,1,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False
22,40,0,302,6,3,2,75,3,4,3,13237,20364,7,15,3,3,0,22,3,3,20,6,5,13,13237,9.490846760678869,20,20,5,22,0.889795918367347,7,1.6666666666666667,601.6818181818181,3,2.8,0.25,0.9090909090909091,0,1,0.2,0,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False
23,41,0,267,10,2,4,56,3,2,4,6230,13430,7,14,3,4,0,16,3,3,14,3,1,10,6230,8.737292112544221,14,14,1,16,0.7707482993197279,7,1.6666666666666667,389.375,3,1.4,0.07142857142857142,0.875,0,0,0.21428571428571427,0,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
24,32,0,588,8,2,3,65,2,2,2,5228,24624,1,11,3,4,0,13,2,3,13,12,11,9,5228,8.56197533418813,13,13,11,13,0.6976190476190476,1,-0.3333333333333333,402.15384615384613,2,-0.3999999999999999,0.8461538461538461,1.0,2,1,0.2727272727272727,1,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True
25,24,1,813,1,3,2,61,3,1,4,2293,3020,2,16,3,1,1,6,2,2,2,0,2,0,2293,7.738052297689316,2,2,2,6,0.2578231292517007,2,0.0,382.1666666666667,1,1.0,1.0,0.3333333333333333,3,1,0.1875,2,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False
26,49,1,722,25,4,3,84,3,1,1,3211,22102,1,14,3,4,1,10,3,2,9,6,1,4,3211,8.074649075066652,9,9,1,10,0.5595238095238095,1,-0.3333333333333333,321.1,2,-0.19999999999999996,0.1111111111111111,0.9,3,1,0.21428571428571427,1,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
27,24,0,350,21,2,3,57,2,1,1,2296,10036,0,14,3,2,3,2,3,3,1,1,0,0,2296,7.739359202689098,1,1,0,2,0.07346938775510205,0,-0.6666666666666666,1148.0,3,0.8,0.0,0.5,1,1,0.21428571428571427,1,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
